NmPratoSopa;NmPratoSopaEN;NmPratoCarne;NmPratoCarneEN;NmPratoPeixe;NmPratoPeixeEN;NmPratoVegetariano;NmPratoVegetarianoEN;NmPratoSobremesa;NmPratoSobremesaEN;Observacoes;DescricaoCarne;DescricaoPeixe;DescricaoVegetariano;DescricaoEmenta;DescricaoEmentaPT;IDPratoSopaFK;IDPratoCarneFK;IDPratoPeixeFK;IDPratoVegetarianoFK;IDPratoSobremesaFK;ReservaAte;ReservasAtePenalizacaoValor;CancelamentoAte;CancelamentoAtePenalizacaoValor;Data;IDEmentaData;DataRefeicao;IDCantinaFK;IDTipoRefeicaoFK;DataRefeicaoOnly;Preco;NmCantina;IDPoloFK;NmPolo;NmTipoRefeicao;NmTipoRefeicaoEN;SopaPTEN;CarnePTEN;PeixePTEN;SobremesaPTEN;VegetarianoPTEN;ImprimePrecos
Couve-flor;Cauliflower soup;Febras de cebolada c / puré;Pork steak of onion with mashed potatoes;;;Bolonhesa de soja;Bolognese soy;Fruta;Fruit;;Couve-flor (Cauliflower soup)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes)Fruta (Fruit);Couve-flor (Cauliflower soup) ()Fruta (Fruit);Couve-flor (Cauliflower soup)Bolonhesa de soja (Bolognese soy)Fruta (Fruit);Couve-flor (Cauliflower soup)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes) ()Bolonhesa de soja (Bolognese soy)Fruta (Fruit);Couve-flor | Febras de cebolada c / puré |  | Bolonhesa de soja | Fruta;538;222;;229;15;17/07/2023;0,5;17/07/2023;0,5;17/07/2023;1128;17/07/2023;1;1;2023-07-17;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Couve-flor | Cauliflower soup;Febras de cebolada c / puré | Pork steak of onion with mashed potatoes; | ;Fruta | Fruit;Bolonhesa de soja | Bolognese soy;0
Hortaliça;Vegetables soup;;;Arroz de potas;Squid special rice;Arroz de ervilhas com cogumelos;Rice peas with mushrooms;Arroz doce;Sweet rice;;Hortaliça (Vegetables soup) ()Arroz doce (Sweet rice);Hortaliça (Vegetables soup)Arroz de potas (Squid special rice)Arroz doce (Sweet rice);Hortaliça (Vegetables soup)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Arroz doce (Sweet rice);Hortaliça (Vegetables soup) ()Arroz de potas (Squid special rice)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Arroz doce (Sweet rice);Hortaliça |  | Arroz de potas | Arroz de ervilhas com cogumelos | Arroz doce;11;;318;155;85;18/07/2023;0,5;18/07/2023;0,5;18/07/2023;1129;18/07/2023;1;1;2023-07-18;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Hortaliça | Vegetables soup; | ;Arroz de potas | Squid special rice;Arroz doce | Sweet rice;Arroz de ervilhas com cogumelos | Rice peas with mushrooms;0
Feijão;De feijão;Perna de frango assada com arroz e batata frita;Roasted chicken w/ rice and fries;;;Couscous com legumes salteados;Couscous with sautéed vegetables;Fruta;Fruit;;Feijão (De feijão)Perna de frango assada com arroz e batata frita (Roasted chicken w/ rice and fries)Fruta (Fruit);Feijão (De feijão) ()Fruta (Fruit);Feijão (De feijão)Couscous com legumes salteados (Couscous with sautéed vegetables)Fruta (Fruit);Feijão (De feijão)Perna de frango assada com arroz e batata frita (Roasted chicken w/ rice and fries) ()Couscous com legumes salteados (Couscous with sautéed vegetables)Fruta (Fruit);Feijão | Perna de frango assada com arroz e batata frita |  | Couscous com legumes salteados | Fruta;31;65;;219;15;19/07/2023;0,5;19/07/2023;0,5;19/07/2023;1130;19/07/2023;1;1;2023-07-19;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Feijão | De feijão;Perna de frango assada com arroz e batata frita | Roasted chicken w/ rice and fries; | ;Fruta | Fruit;Couscous com legumes salteados | Couscous with sautéed vegetables;0
Caldo verde;Soup of shredded kale in potato broth;;;Coroa de atum com ovos mexidos e molho de tomate;Crown of tuna with scrambled eggs and tomato sauce;Paella vegetariana;Vegetarian paella;Fruta;Fruit;;Caldo verde (Soup of shredded kale in potato broth) ()Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Coroa de atum com ovos mexidos e molho de tomate (Crown of tuna with scrambled eggs and tomato sauce)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth) ()Coroa de atum com ovos mexidos e molho de tomate (Crown of tuna with scrambled eggs and tomato sauce)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Caldo verde |  | Coroa de atum com ovos mexidos e molho de tomate | Paella vegetariana | Fruta;138;;143;44;15;20/07/2023;0,5;20/07/2023;0,5;20/07/2023;1131;20/07/2023;1;1;2023-07-20;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Caldo verde | Soup of shredded kale in potato broth; | ;Coroa de atum com ovos mexidos e molho de tomate | Crown of tuna with scrambled eggs and tomato sauce;Fruta | Fruit;Paella vegetariana | Vegetarian paella;0
Couve roxa;Red cabbage soup;Costeletas com molho de mostarda e esparguete;Fried cutlets with mustard sauce with spaghetti;;;Ratatouille;Ratatouille;Fruta;Fruit;;Couve roxa (Red cabbage soup)Costeletas com molho de mostarda e esparguete (Fried cutlets with mustard sauce with spaghetti)Fruta (Fruit);Couve roxa (Red cabbage soup) ()Fruta (Fruit);Couve roxa (Red cabbage soup)Ratatouille (Ratatouille)Fruta (Fruit);Couve roxa (Red cabbage soup)Costeletas com molho de mostarda e esparguete (Fried cutlets with mustard sauce with spaghetti) ()Ratatouille (Ratatouille)Fruta (Fruit);Couve roxa | Costeletas com molho de mostarda e esparguete |  | Ratatouille | Fruta;76;485;;26;15;21/07/2023;0,5;21/07/2023;0,5;21/07/2023;1132;21/07/2023;1;1;2023-07-21;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Couve roxa | Red cabbage soup;Costeletas com molho de mostarda e esparguete | Fried cutlets with mustard sauce with spaghetti; | ;Fruta | Fruit;Ratatouille | Ratatouille;0
Legumes;Vegetable soup;Hambúrguer com ovo estrelado e batata frita;Burger with fried egg and chips;Pescada de fricassé;Hake fricassee;Cogumelos salteados c/ arroz;Sautée mushrooms with rice;Fruta;Fruit;;Legumes (Vegetable soup)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Fruta (Fruit);Legumes (Vegetable soup)Pescada de fricassé (Hake fricassee)Fruta (Fruit);Legumes (Vegetable soup)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Fruta (Fruit);Legumes (Vegetable soup)Hambúrguer com ovo estrelado e batata frita (Burger with fried egg and chips)Pescada de fricassé (Hake fricassee)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Fruta (Fruit);Legumes | Hambúrguer com ovo estrelado e batata frita | Pescada de fricassé | Cogumelos salteados c/ arroz | Fruta;272;24;306;226;15;18/09/2023;0,5;18/09/2023;0,5;18/09/2023;1158;18/09/2023;1;1;2023-09-18;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Legumes | Vegetable soup;Hambúrguer com ovo estrelado e batata frita | Burger with fried egg and chips;Pescada de fricassé | Hake fricassee;Fruta | Fruit;Cogumelos salteados c/ arroz | Sautée mushrooms with rice;0
Alho francês;French garlic soup;Espetadas de peru com esparguete salteado;Turkey skewers with spaghetti sauteed;Solha frita com arroz de tomate;Fried plaice with tomato rice;Esparguete com soja e molho de tomate;Spaghetti with soy and tomato sauce;Gelatina;Gelatin;;Alho francês (French garlic soup)Espetadas de peru com esparguete salteado (Turkey skewers with spaghetti sauteed)Gelatina (Gelatin);Alho francês (French garlic soup)Solha frita com arroz de tomate (Fried plaice with tomato rice)Gelatina (Gelatin);Alho francês (French garlic soup)Esparguete com soja e molho de tomate (Spaghetti with soy and tomato sauce)Gelatina (Gelatin);Alho francês (French garlic soup)Espetadas de peru com esparguete salteado (Turkey skewers with spaghetti sauteed)Solha frita com arroz de tomate (Fried plaice with tomato rice)Esparguete com soja e molho de tomate (Spaghetti with soy and tomato sauce)Gelatina (Gelatin);Alho francês | Espetadas de peru com esparguete salteado | Solha frita com arroz de tomate | Esparguete com soja e molho de tomate | Gelatina;158;61;62;189;49;19/09/2023;0,5;19/09/2023;0,5;19/09/2023;1159;19/09/2023;1;1;2023-09-19;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Alho francês | French garlic soup;Espetadas de peru com esparguete salteado | Turkey skewers with spaghetti sauteed;Solha frita com arroz de tomate | Fried plaice with tomato rice;Gelatina | Gelatin;Esparguete com soja e molho de tomate | Spaghetti with soy and tomato sauce;0
Grão c/ hortaliça;Cheackpeas soup with vegetables;Empadão de arroz;Large rice pie;Salmão cozido c/ molho holandês;Cooked salmon with butter and lemon sauce;Couscous vegetarianos;Vegetarian couscous;Fruta;Fruit;;Grão c/ hortaliça (Cheackpeas soup with vegetables)Empadão de arroz (Large rice pie)Fruta (Fruit);Grão c/ hortaliça (Cheackpeas soup with vegetables)Salmão cozido c/ molho holandês (Cooked salmon with butter and lemon sauce)Fruta (Fruit);Grão c/ hortaliça (Cheackpeas soup with vegetables)Couscous vegetarianos (Vegetarian couscous)Fruta (Fruit);Grão c/ hortaliça (Cheackpeas soup with vegetables)Empadão de arroz (Large rice pie)Salmão cozido c/ molho holandês (Cooked salmon with butter and lemon sauce)Couscous vegetarianos (Vegetarian couscous)Fruta (Fruit);Grão c/ hortaliça | Empadão de arroz | Salmão cozido c/ molho holandês | Couscous vegetarianos | Fruta;299;386;284;34;15;20/09/2023;0,5;20/09/2023;0,5;20/09/2023;1160;20/09/2023;1;1;2023-09-20;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Grão c/ hortaliça | Cheackpeas soup with vegetables;Empadão de arroz | Large rice pie;Salmão cozido c/ molho holandês | Cooked salmon with butter and lemon sauce;Fruta | Fruit;Couscous vegetarianos | Vegetarian couscous;0
Macedónia;Soup made with mix vegetables;Carne de porco à alentejana;Fried pork meat with clams and chips;Massa de atum gratinada;Pasta with tuna au gratin;Legumes assados com batata assada;Vegetables roasted in the oven with potatoes;Iogurte;Yogurt;;Macedónia (Soup made with mix vegetables)Carne de porco à alentejana (Fried pork meat with clams and chips)Iogurte (Yogurt);Macedónia (Soup made with mix vegetables)Massa de atum gratinada (Pasta with tuna au gratin)Iogurte (Yogurt);Macedónia (Soup made with mix vegetables)Legumes assados com batata assada (Vegetables roasted in the oven with potatoes)Iogurte (Yogurt);Macedónia (Soup made with mix vegetables)Carne de porco à alentejana (Fried pork meat with clams and chips)Massa de atum gratinada (Pasta with tuna au gratin)Legumes assados com batata assada (Vegetables roasted in the oven with potatoes)Iogurte (Yogurt);Macedónia | Carne de porco à alentejana | Massa de atum gratinada | Legumes assados com batata assada | Iogurte;307;2;3;75;5;21/09/2023;0,5;21/09/2023;0,5;21/09/2023;1161;21/09/2023;1;1;2023-09-21;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Macedónia | Soup made with mix vegetables;Carne de porco à alentejana | Fried pork meat with clams and chips;Massa de atum gratinada | Pasta with tuna au gratin;Iogurte | Yogurt;Legumes assados com batata assada | Vegetables roasted in the oven with potatoes;0
Juliana de legumes;Soup with mix vegetables;Vitela estufada c/ cogumelos e  puré;Veal stuffed with mushrooms and mashed;;;Paella vegetariana;Vegetarian paella;Fruta;Fruit;;Juliana de legumes (Soup with mix vegetables)Vitela estufada c/ cogumelos e  puré (Veal stuffed with mushrooms and mashed)Fruta (Fruit);Juliana de legumes (Soup with mix vegetables) ()Fruta (Fruit);Juliana de legumes (Soup with mix vegetables)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Juliana de legumes (Soup with mix vegetables)Vitela estufada c/ cogumelos e  puré (Veal stuffed with mushrooms and mashed) ()Paella vegetariana (Vegetarian paella)Fruta (Fruit);Juliana de legumes | Vitela estufada c/ cogumelos e  puré |  | Paella vegetariana | Fruta;73;375;;44;15;22/09/2023;0,5;22/09/2023;0,5;22/09/2023;1162;22/09/2023;1;1;2023-09-22;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Juliana de legumes | Soup with mix vegetables;Vitela estufada c/ cogumelos e  puré | Veal stuffed with mushrooms and mashed; | ;Fruta | Fruit;Paella vegetariana | Vegetarian paella;0
